keys,English,Russian
id_attack_d,,Наносит урон врагу на своей линии
id_defence_d,,"Если атака противника выше защиты, наносится урон герою, равный разнице атаки врага и защиты персонажа"
id_vendeta_d,,"Если во время атаки противник погибает, случайный противник соседней линии встает на его место"
id_shieldHit_d,,"После атаки врага наносит ему урон, равный количеству оставшейся на персонаже защиты"
id_finish_d,,Уничтожает врага если у него нет защиты и его здоровье меньше x2 атаки героя 
id_barricade_d,,"Создает баррикаду, которая дает защиту до тех пор, пока не будет разрушена"
id_mine_d,,"Наносит урон врагу, после его атаки, равный количеству мин, мины нанесшие урон уничтожаются"
id_turret_d,,"Наносит урон врагу,  равный количеству турелей, во время атаки врага, если турели не защищены баррикадами, они разрушаются."
id_place_d,,"Дает бонус атаки с линии на котором построен плацдарм, равный количеству плацдармов, плацдармы не разрушаются"
id_lab_d,,"Дает дополнительное очко иследований ученому на линнии, где расположена лабораторя, лаборатории не разрушаются "
id_shot_d,,Наносит урон врагу на выбранной линии
id_shrapnel_d,,"Наносит урон врагам на соседних с атакуемым врагом линиях, равный количеству шрапнели."
id_incendary_d,,"Поджигает врага, поджоги в конце каждого хода наносит врагу урон, равный количеству поджогов, каждый ход с врага снимается 1 поджог"
id_mark_d,,"Создает на враге метку, все стрелки наносят дополнительный урон, равный количеству меток, метки не пропадают"
id_snapshot_d,,Игнорирует защиту врага
id_research_d,,Дает очки исследования для изучения технологий
id_addTechno_d,,Добавляет случайну технологию из колоды технологий
id_mix_d,,Позволяет поменять местами двух врагов
id_fastBuild_d,,Инженеры возводят дополнительно баррикаду и турель
id_troopTactic_d,,Повышает атаку и защиту пехотинцев
id_balistic_d,,Повышает силу выстрела стрелков
